"ID";"observation_time";"temperature";"wind_speed";"pressure";"humidity"
1;"2025-10-18 13:26";12;1;959;52
2;"2025-10-18 13:54";12;1;959;52
3;"2025-10-18 14:47";12;1;958;50
4;"2025-10-18 15:43";12;1;958;52
5;"2025-10-18 16:47";11;1;958;55
6;"2025-10-18 17:47";10;1;958;63
7;"2025-10-18 18:47";8;1;958;70
8;"2025-10-18 19:47";7;0;959;79
9;"2025-10-18 20:47";6;0;960;83
10;"2025-10-18 21:47";6;0;960;85
11;"2025-10-18 22:47";5;0;960;86
12;"2025-10-18 23:47";5;0;960;83
13;"2025-10-18 00:48";5;1;961;85
14;"2025-10-18 01:48";5;1;961;86
15;"2025-10-19 02:48";5;1;960;89
17;"2025-10-20 12:21";13;2;948;58
18;"2025-10-20 12:21";13;2;948;58
19;"2025-10-20 13:21";14;2;948;55
20;"2025-10-20 14:21";13;2;947;59
21;"2025-10-20 15:21";13;2;946;62
22;"2025-10-20 16:21";12;1;946;66
23;"2025-10-20 17:21";11;1;946;69
24;"2025-10-20 18:20";10;1;946;70
25;"2025-10-20 19:20";10;1;946;73
26;"2025-10-20 20:20";9;1;946;76
27;"2025-10-20 21:21";9;1;946;77
28;"2025-10-20 22:21";10;1;946;77
29;"2025-10-20 23:21";10;1;946;76
30;"2025-10-20 00:21";10;1;945;76
31;"2025-10-20 01:21";10;1;945;77
32;"2025-10-21 02:21";10;1;944;77
33;"2025-10-21 03:20";10;1;944;77
34;"2025-10-21 04:20";10;1;944;79
35;"2025-10-21 05:20";9;0;944;81
36;"2025-10-21 06:20";9;0;944;83
37;"2025-10-21 07:20";9;0;944;84
38;"2025-10-21 11:22";13;0;944;76
39;"2025-10-21 12:22";13;0;944;79
40;"2025-10-21 13:22";13;0;944;78
41;"2025-10-21 14:22";12;0;943;87
42;"2025-10-21 15:22";12;0;943;90
43;"2025-10-21 16:22";12;0;943;93
44;"2025-10-21 16:22";12;0;943;93
45;"2025-10-21 18:22";11;0;944;90
46;"2025-10-21 19:22";11;0;944;90
47;"2025-10-21 20:21";10;0;944;92
48;"2025-10-21 21:21";10;0;944;92
49;"2025-10-21 21:21";10;0;944;92
50;"2025-10-21 23:21";10;0;944;92
51;"2025-10-21 00:21";9;1;944;92
52;"2025-10-21 01:21";9;0;944;92
53;"2025-10-22 02:21";9;0;944;92
54;"2025-10-22 03:21";9;1;944;92
55;"2025-10-22 04:21";9;1;944;92
56;"2025-10-22 05:21";9;1;943;93
57;"2025-10-22 06:21";9;1;943;92
58;"2025-10-22 07:21";9;1;943;91
59;"2025-10-22 08:21";10;1;943;86
60;"2025-10-22 09:21";12;1;943;81
61;"2025-10-22 10:21";14;1;944;75
62;"2025-10-22 11:21";15;2;943;70
63;"2025-10-22 12:20";16;3;942;64
64;"2025-10-22 13:20";16;3;942;63
65;"2025-10-22 13:46";16;3;942;63
66;"2025-10-22 14:48";15;2;942;66
67;"2025-10-22 15:48";15;2;942;67
68;"2025-10-22 15:48";15;2;942;67
69;"2025-10-22 17:48";12;2;944;75
70;"2025-10-22 18:47";11;2;944;80
71;"2025-10-22 19:47";10;1;944;84
72;"2025-10-22 20:47";9;1;944;88
73;"2025-10-22 21:47";9;1;944;89
74;"2025-10-22 22:47";9;1;945;89
75;"2025-10-22 23:47";9;1;944;87
76;"2025-10-22 00:47";9;1;944;87
77;"2025-10-22 01:47";8;1;944;88
78;"2025-10-23 02:47";8;1;944;88
79;"2025-10-23 03:47";8;1;942;88
80;"2025-10-23 04:47";8;1;942;87
81;"2025-10-23 05:47";9;1;942;87
82;"2025-10-23 06:47";9;1;941;87
83;"2025-10-23 07:47";9;1;940;86
84;"2025-10-23 08:48";10;0;939;83
85;"2025-10-23 09:48";12;1;938;80
86;"2025-10-23 10:47";12;0;938;82
87;"2025-10-23 11:47";13;0;937;84
88;"2025-10-23 12:47";14;0;935;82
89;"2025-10-23 12:47";14;0;935;82
90;"2025-10-23 14:47";13;0;933;82
91;"2025-10-23 14:47";13;0;933;82
92;"2025-10-23 16:16";12;0;931;95
93;"2025-10-23 17:15";11;0;930;96
94;"2025-10-23 18:15";11;0;929;94
95;"2025-10-23 19:15";11;1;930;93
96;"2025-10-23 20:15";8;2;934;89
97;"2025-10-23 21:15";6;1;936;91
98;"2025-10-23 22:15";4;1;936;92
99;"2025-10-23 23:15";4;0;936;93
100;"2025-10-23 00:15";2;2;936;95
101;"2025-10-23 01:16";3;1;937;93
102;"2025-10-24 02:16";4;1;938;93
103;"2025-10-24 03:16";4;2;938;89
104;"2025-10-24 04:16";4;1;939;88
105;"2025-10-24 05:16";4;1;940;90
106;"2025-10-24 06:16";4;1;940;89
107;"2025-10-24 07:16";4;0;940;91
108;"2025-10-24 08:16";6;0;942;90
109;"2025-10-24 09:16";8;0;942;91
110;"2025-10-24 10:16";8;0;942;88
111;"2025-10-24 11:16";9;0;944;83
112;"2025-10-24 12:16";10;1;943;78
113;"2025-10-24 13:16";11;1;943;73
114;"2025-10-24 14:16";11;1;944;73
115;"2025-10-24 15:16";10;2;944;80
117;"2025-10-24 17:15";7;0;946;91
118;"2025-10-24 18:25";6;0;947;93
119;"2025-10-24 19:25";5;1;947;93
120;"2025-10-24 20:25";4;1;948;93
121;"2025-10-24 21:25";4;1;948;92
122;"2025-10-24 22:25";4;1;948;92
123;"2025-10-24 23:25";4;0;948;91
124;"2025-10-24 00:25";3;1;948;93
125;"2025-10-24 01:25";3;1;949;93
126;"2025-10-25 02:26";3;1;948;92
127;"2025-10-25 03:26";3;0;948;92
128;"2025-10-25 04:26";3;1;948;92
129;"2025-10-25 05:26";3;1;948;92
130;"2025-10-25 06:26";3;1;947;91
131;"2025-10-25 07:26";2;1;947;91
132;"2025-10-25 08:26";4;1;946;87
133;"2025-10-25 09:26";6;1;946;81
134;"2025-10-25 10:26";9;0;946;74
135;"2025-10-25 11:26";10;1;946;66
136;"2025-10-25 12:26";11;0;945;63
137;"2025-10-25 13:26";12;1;944;59
138;"2025-10-25 14:26";13;1;943;55
139;"2025-10-25 15:26";13;3;942;52
140;"2025-10-25 16:26";12;2;942;54
141;"2025-10-25 17:26";10;2;942;58
142;"2025-10-25 18:26";8;1;942;66
143;"2025-10-25 19:26";8;2;942;68
144;"2025-10-25 19:26";8;2;942;68
145;"2025-10-25 21:26";6;1;942;77
